"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","numberMissed","duration","condition","order","trial_num","key_press","ground_truth","bonus"
"pavlovia","0","1303","0.0-0.0","spark_pilot_2","7313","8","11","Female","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","20268","0.0-1.0","spark_pilot_2","7313","8","11","Female","true","false","[]","[]","[]","[{""event"":""fullscreenenter"",""trial"":2,""time"":24415}]","","","","","","","","","","","","","","","","","",""
"fullscreen","2","25354","0.0-2.0","spark_pilot_2","7313","8","11","Female","true","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","3","30903","0.0-3.0-0.0-0.0","spark_pilot_2","7313","8","11","Female","","","","","","","3981","./assets/audio/audiotest/turtle.mp3","2","audio_test","","","","","","","","","","","","","",""
"learning-instructions","4","41002","0.0-3.0-1.0-0.0","spark_pilot_2","7313","8","11","Female","","","","","","","3089.600000143051","<p> Welcome! Please remember to stay in fullscreen mode and don't click away from the experiment. </p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","5","50336","0.0-3.0-1.0-0.1","spark_pilot_2","7313","8","11","Female","","","","","","","932.9000000953674","<p> Today you will be playing a game to earn treasure. </p>
            <p> At the end of the experiment, you will earn a bonus based on how much treasure you find. </p>
            <img src='./assets/img/instructions/treasure.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","6","60676","0.0-3.0-1.0-0.2","spark_pilot_2","7313","8","11","Female","","","","","","","2071.9000000953674","<p> Animals have hidden treasure in treasure chests. </p>
            <p> You need to first find an animal and then choose which of their treasure chests to search. </p>
            <img src='./assets/img/space/animals/cat.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","7","77909","0.0-3.0-1.0-0.3","spark_pilot_2","7313","8","11","Female","","","","","","","4075.2000000476837","<p> In each round, you will search for treasure in a different place. In the real game, there will be two rounds. </p>
            <p> You will begin with a separate, practice round where you will search for treasure in outer space. </p>
            <img src='./assets/img/space/0.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","8","93525","0.0-3.0-1.0-0.4","spark_pilot_2","7313","8","11","Female","","","","","","","4197.699999809265","<p> On every turn, you will see a picture of the place that you are in, but the specific image may be different each time. </p>
            <p> For example, both of these images mean you are in outer space. </p>
            <img src='./assets/img/instructions/outerspace.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","9","102874","0.0-3.0-1.0-0.5","spark_pilot_2","7313","8","11","Female","","","","","","","1497.5","<p> You need to decide which direction to travel in. </p>
            <p> You can choose between going <b>up or down</b> by using the arrow keys. </p>
            <img src='./assets/img/instructions/updown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","10","112927","0.0-3.0-1.0-0.6","spark_pilot_2","7313","8","11","Female","","","","","","","1241.7000000476837","<p> You will have <b>2 seconds</b> to make your choice. </p>
            <p> If you do not make a choice within 2 seconds, you will not find an animal or earn treasure. </p>
            <img src='./assets/img/instructions/2seconds.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","11","121190","0.0-3.0-1.0-0.7","spark_pilot_2","7313","8","11","Female","","","","","","","1194.3999998569489","<p> Let’s try practicing that now! </p>
            <p> When you see a picture of the place you are in, press the <b>up</b> key to travel up. </p>
            <img src='./assets/img/instructions/pressUp.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"revaluation","12","125228","0.0-3.0-2.0-0.0","spark_pilot_2","7313","8","11","Female","","false","","","","","[396.30000019073486]","./assets/img/space/0.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","","","",""
"html-keyboard-response","13","125744","0.0-3.0-2.0-1.0","spark_pilot_2","7313","8","11","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","14","129763","0.0-3.0-2.0-0.1","spark_pilot_2","7313","8","11","Female","","false","","","","","[687.1000001430511]","./assets/img/space/1.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","","","",""
"html-keyboard-response","15","130269","0.0-3.0-2.0-1.1","spark_pilot_2","7313","8","11","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","16","134295","0.0-3.0-2.0-0.2","spark_pilot_2","7313","8","11","Female","","false","","","","","[500.40000009536743]","./assets/img/space/2.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","","","",""
"html-keyboard-response","17","134813","0.0-3.0-2.0-1.2","spark_pilot_2","7313","8","11","Female","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"learning-instructions","18","140978","0.0-3.0-3.0-0.0","spark_pilot_2","7313","8","11","Female","","","","","","","1439.7000000476837","<p> Great job! Now try pressing the <b>down</b> key to travel down. </p>
            <img src='./assets/img/instructions/pressDown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"revaluation","19","145002","0.0-3.0-4.0-0.0","spark_pilot_2","7313","8","11","Female","","false","","","","","[734.9000000953674]","./assets/img/space/3.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","","","",""
