"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch"
"pavlovia","0","3215","0.0-0.0","spark_pilot_2","7420","5","17","Female","","","","","","","","","","","","","","","",""
"preload","1","5192","0.0-1.0","spark_pilot_2","7420","5","17","Female","true","false","[]","[]","[]","[{""event"":""fullscreenenter"",""trial"":2,""time"":8995},{""event"":""fullscreenexit"",""trial"":3,""time"":11678},{""event"":""blur"",""trial"":9,""time"":72924},{""event"":""focus"",""trial"":9,""time"":76752},{""event"":""blur"",""trial"":25,""time"":136850},{""event"":""focus"",""trial"":25,""time"":138234},{""event"":""blur"",""trial"":25,""time"":139019},{""event"":""focus"",""trial"":25,""time"":139550},{""event"":""blur"",""trial"":49,""time"":267185},{""event"":""focus"",""trial"":49,""time"":273605},{""event"":""blur"",""trial"":53,""time"":290721},{""event"":""focus"",""trial"":53,""time"":290952},{""event"":""blur"",""trial"":55,""time"":292714},{""event"":""focus"",""trial"":55,""time"":293496},{""event"":""blur"",""trial"":55,""time"":293602},{""event"":""focus"",""trial"":57,""time"":494407},{""event"":""blur"",""trial"":58,""time"":496820},{""event"":""focus"",""trial"":58,""time"":502219},{""event"":""blur"",""trial"":58,""time"":505958},{""event"":""focus"",""trial"":58,""time"":511403},{""event"":""blur"",""trial"":58,""time"":515081},{""event"":""focus"",""trial"":58,""time"":599150},{""event"":""blur"",""trial"":58,""time"":599152},{""event"":""focus"",""trial"":58,""time"":599155}]","","","","","","","","","",""
"fullscreen","2","9948","0.0-2.0","spark_pilot_2","7420","5","17","Female","true","","","","","","","","","","","","","","",""
"audio-button-response","3","11300","0.0-3.0-0.0-0.0","spark_pilot_2","7420","5","17","Female","","","","","","[{""event"":""fullscreenenter"",""trial"":2,""time"":8995},{""event"":""fullscreenexit"",""trial"":3,""time"":11678},{""event"":""blur"",""trial"":9,""time"":72924},{""event"":""focus"",""trial"":9,""time"":76752},{""event"":""blur"",""trial"":25,""time"":136850},{""event"":""focus"",""trial"":25,""time"":138234},{""event"":""blur"",""trial"":25,""time"":139019},{""event"":""focus"",""trial"":25,""time"":139550},{""event"":""blur"",""trial"":49,""time"":267185},{""event"":""focus"",""trial"":49,""time"":273605},{""event"":""blur"",""trial"":53,""time"":290721},{""event"":""focus"",""trial"":53,""time"":290952},{""event"":""blur"",""trial"":55,""time"":292714},{""event"":""focus"",""trial"":55,""time"":293496},{""event"":""blur"",""trial"":55,""time"":293602},{""event"":""focus"",""trial"":57,""time"":494407},{""event"":""blur"",""trial"":58,""time"":496820},{""event"":""focus"",""trial"":58,""time"":502219},{""event"":""blur"",""trial"":58,""time"":505958},{""event"":""focus"",""trial"":58,""time"":511403},{""event"":""blur"",""trial"":58,""time"":515081},{""event"":""focus"",""trial"":58,""time"":599150},{""event"":""blur"",""trial"":58,""time"":599152},{""event"":""focus"",""trial"":58,""time"":599155}]","1320","./assets/audio/audiotest/turtle.mp3","2","audio_test","","","","","",""
"learning-instructions","4","20716","0.0-3.0-1.0-0.0","spark_pilot_2","7420","5","17","Female","","","","","","","2354","<p> Welcome! Please remember to stay in fullscreen mode and don't click away from the experiment. </p>","","instructions","","","","","",""
"learning-instructions","5","30401","0.0-3.0-1.0-0.1","spark_pilot_2","7420","5","17","Female","","","","","","","1218.2999999523163","<p> Today you will be playing a game to earn treasure. </p>
            <p> At the end of the experiment, you will earn a bonus based on how much treasure you find. </p>
            <img src='./assets/img/instructions/treasure.jpg' class='instructions-image'>","","instructions","","","","","",""
"learning-instructions","6","40777","0.0-3.0-1.0-0.2","spark_pilot_2","7420","5","17","Female","","","","","","","2075.8000000715256","<p> Animals have hidden treasure in treasure chests. </p>
            <p> You need to first find an animal and then choose which of their treasure chests to search. </p>
            <img src='./assets/img/space/animals/cat.jpg' class='instructions-image'>","","instructions","","","","","",""
"learning-instructions","7","54580","0.0-3.0-1.0-0.3","spark_pilot_2","7420","5","17","Female","","","","","","","628","<p> In each round, you will search for treasure in a different place. In the real game, there will be two rounds. </p>
            <p> You will begin with a separate, practice round where you will search for treasure in outer space. </p>
            <img src='./assets/img/space/0.jpg' class='instructions-image'>","","instructions","","","","","",""
"learning-instructions","8","66639","0.0-3.0-1.0-0.4","spark_pilot_2","7420","5","17","Female","","","","","","[{""event"":""fullscreenenter"",""trial"":2,""time"":8995},{""event"":""fullscreenexit"",""trial"":3,""time"":11678},{""event"":""blur"",""trial"":9,""time"":72924},{""event"":""focus"",""trial"":9,""time"":76752},{""event"":""blur"",""trial"":25,""time"":136850},{""event"":""focus"",""trial"":25,""time"":138234},{""event"":""blur"",""trial"":25,""time"":139019},{""event"":""focus"",""trial"":25,""time"":139550},{""event"":""blur"",""trial"":49,""time"":267185},{""event"":""focus"",""trial"":49,""time"":273605},{""event"":""blur"",""trial"":53,""time"":290721},{""event"":""focus"",""trial"":53,""time"":290952},{""event"":""blur"",""trial"":55,""time"":292714},{""event"":""focus"",""trial"":55,""time"":293496},{""event"":""blur"",""trial"":55,""time"":293602},{""event"":""focus"",""trial"":57,""time"":494407},{""event"":""blur"",""trial"":58,""time"":496820},{""event"":""focus"",""trial"":58,""time"":502219},{""event"":""blur"",""trial"":58,""time"":505958},{""event"":""focus"",""trial"":58,""time"":511403},{""event"":""blur"",""trial"":58,""time"":515081},{""event"":""focus"",""trial"":58,""time"":599150},{""event"":""blur"",""trial"":58,""time"":599152},{""event"":""focus"",""trial"":58,""time"":599155}]","600","<p> On every turn, you will see a picture of the place that you are in, but the specific image may be different each time. </p>
            <p> For example, both of these images mean you are in outer space. </p>
            <img src='./assets/img/instructions/outerspace.jpg' class='instructions-image'>","","instructions","","","","","",""
"learning-instructions","9","78002","0.0-3.0-1.0-0.5","spark_pilot_2","7420","5","17","Female","","","","","","","3501.7999999523163","<p> You need to decide which direction to travel in. </p>
            <p> You can choose between going <b>up or down</b> by using the arrow keys. </p>
            <img src='./assets/img/instructions/updown.jpg' class='instructions-image'>","","instructions","","","","","",""
