"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","rest","browser_interaction","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","audioStim","slider_start","answer","error","trial_num","condition","order","bonus"
"pavlovia","0","3944","0.0-0.0","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","[{""event"":""blur"",""trial"":1,""time"":5095},{""event"":""focus"",""trial"":2,""time"":27871},{""event"":""blur"",""trial"":2,""time"":36090},{""event"":""focus"",""trial"":2,""time"":42216},{""event"":""blur"",""trial"":2,""time"":42378},{""event"":""focus"",""trial"":2,""time"":46069},{""event"":""fullscreenenter"",""trial"":2,""time"":47510}]","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","27870","0.0-1.0","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","[{""event"":""blur"",""trial"":1,""time"":5095},{""event"":""focus"",""trial"":2,""time"":27871},{""event"":""blur"",""trial"":2,""time"":36090},{""event"":""focus"",""trial"":2,""time"":42216},{""event"":""blur"",""trial"":2,""time"":42378},{""event"":""focus"",""trial"":2,""time"":46069},{""event"":""fullscreenenter"",""trial"":2,""time"":47510}]","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","",""
"fullscreen","2","48452","0.0-2.0","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","true","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","3","51629","0.0-3.0-0.0-0.0","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","","","","","2101","./assets/audio/audiotest/turtle.mp3","2","audio_test","","","","","","","","","","","","","",""
"learning-instructions","4","64016","0.0-3.0-1.0-0.0","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","","","","","5303.400000095367","<p> Welcome! Please remember to stay in fullscreen mode and don't click away from the experiment. </p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","5","76681","0.0-3.0-1.0-0.1","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","","","","","4164.899999856949","<p> Today you will be playing a game to earn treasure. </p>
            <p> At the end of the experiment, you will earn a bonus based on how much treasure you find. </p>
            <img src='./assets/img/instructions/treasure.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","6","89764","0.0-3.0-1.0-0.2","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","","","","","4739.800000190735","<p> Animals have hidden treasure in treasure chests. </p>
            <p> You need to first find an animal and then choose which of their treasure chests to search. </p>
            <img src='./assets/img/space/animals/cat.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","7","104672","0.0-3.0-1.0-0.3","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","","","","","1617.7999999523163","<p> In each round, you will search for treasure in a different place. In the real game, there will be two rounds. </p>
            <p> You will begin with a separate, practice round where you will search for treasure in outer space. </p>
            <img src='./assets/img/space/0.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","8","117405","0.0-3.0-1.0-0.4","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","","","","","1216.2000000476837","<p> On every turn, you will see a picture of the place that you are in, but the specific image may be different each time. </p>
            <p> For example, both of these images mean you are in outer space. </p>
            <img src='./assets/img/instructions/outerspace.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","9","130220","0.0-3.0-1.0-0.5","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","","","","","4867.900000095367","<p> You need to decide which direction to travel in. </p>
            <p> You can choose between going <b>up or down</b> by using the arrow keys. </p>
            <img src='./assets/img/instructions/updown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","10","141413","0.0-3.0-1.0-0.6","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","","","","","2255.100000143051","<p> You will have <b>2 seconds</b> to make your choice. </p>
            <p> If you do not make a choice within 2 seconds, you will not find an animal or earn treasure. </p>
            <img src='./assets/img/instructions/2seconds.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","11","156050","0.0-3.0-1.0-0.7","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","","","","","7495.799999952316","<p> Let’s try practicing that now! </p>
            <p> When you see a picture of the place you are in, press the <b>up</b> key to travel up. </p>
            <img src='./assets/img/instructions/pressUp.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"revaluation","12","160115","0.0-3.0-2.0-0.0","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","false","","","","[1164.5]","./assets/img/space/0.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","","","",""
"html-keyboard-response","13","160620","0.0-3.0-2.0-1.0","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","14","164642","0.0-3.0-2.0-0.1","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","false","","","","[1241.5999999046326]","./assets/img/space/1.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","","","",""
"html-keyboard-response","15","165152","0.0-3.0-2.0-1.1","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","16","169190","0.0-3.0-2.0-0.2","pilot_wm_v1","66952c67f557cc6b49a8d91f","7","null","null","false","","","false","","","","[248]","./assets/img/space/2.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","","","",""
