"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","rest","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","audioStim","slider_start","answer","error","numberMissed","duration","trial_num","condition","order","bonus"
"pavlovia","0","2068","0.0-0.0","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","6605","0.0-1.0","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","true","false","[]","[]","[]","[{""event"":""blur"",""trial"":2,""time"":17814},{""event"":""focus"",""trial"":2,""time"":23529},{""event"":""fullscreenenter"",""trial"":2,""time"":23860}]","","","","","","","","","","","","","","","","","","","",""
"fullscreen","2","24662","0.0-2.0","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","3","28886","0.0-3.0-0.0-0.0","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","4160","./assets/audio/audiotest/turtle.mp3","2","audio_test","","","","","","","","","","","","","","","",""
"learning-instructions","4","38252","0.0-3.0-1.0-0.0","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","2218","<p> Welcome! Please remember to stay in fullscreen mode and don't click away from the experiment. </p>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","5","48577","0.0-3.0-1.0-0.1","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","1833","<p> Today you will be playing a game to earn treasure. </p>
            <p> At the end of the experiment, you will earn a bonus based on how much treasure you find. </p>
            <img src='./assets/img/instructions/treasure.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","6","57863","0.0-3.0-1.0-0.2","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","948","<p> Animals have hidden treasure in treasure chests. </p>
            <p> You need to first find an animal and then choose which of their treasure chests to search. </p>
            <img src='./assets/img/space/animals/cat.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","7","72294","0.0-3.0-1.0-0.3","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","1160","<p> In each round, you will search for treasure in a different place. In the real game, there will be two rounds. </p>
            <p> You will begin with a separate, practice round where you will search for treasure in outer space. </p>
            <img src='./assets/img/space/0.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","8","84626","0.0-3.0-1.0-0.4","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","812","<p> On every turn, you will see a picture of the place that you are in, but the specific image may be different each time. </p>
            <p> For example, both of these images mean you are in outer space. </p>
            <img src='./assets/img/instructions/outerspace.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","9","94466","0.0-3.0-1.0-0.5","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","1942","<p> You need to decide which direction to travel in. </p>
            <p> You can choose between going <b>up or down</b> by using the arrow keys. </p>
            <img src='./assets/img/instructions/updown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
"learning-instructions","10","104337","0.0-3.0-1.0-0.6","pilot_wm_v1","6692463a3773ef328cdde1f0","2","null","null","true","","","","","","","983","<p> You will have <b>2 seconds</b> to make your choice. </p>
            <p> If you do not make a choice within 2 seconds, you will not find an animal or earn treasure. </p>
            <img src='./assets/img/instructions/2seconds.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","","","",""
